starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 13 23:31:45 2024	1713076305	0	12292	12292	6633
Sat Apr 13 23:32:20 2024	1713076340	0	12300	12300	5640
Sat Apr 13 23:30:45 2024	1713076245	12	12331	12343	7122
Sat Apr 13 23:31:35 2024	1713076295	1	12342	12343	5962
Sat Apr 13 23:32:56 2024	1713076376	0	12384	12385	12203
Sat Apr 13 23:32:53 2024	1713076373	0	12388	12389	12253
Sat Apr 13 23:31:46 2024	1713076306	0	12437	12437	6617
Sat Apr 13 23:30:45 2024	1713076245	12	12498	12510	7222
Sat Apr 13 23:32:36 2024	1713076356	1	12525	12526	9476
Sat Apr 13 23:32:56 2024	1713076376	0	12530	12530	12510
Sat Apr 13 23:31:22 2024	1713076282	0	12547	12547	4344
Sat Apr 13 23:31:17 2024	1713076277	0	12558	12558	12318
Sat Apr 13 23:31:08 2024	1713076268	0	12562	12562	3340
Sat Apr 13 23:32:08 2024	1713076328	0	12565	12565	5771
Sat Apr 13 23:31:08 2024	1713076268	0	12580	12581	3920
Sat Apr 13 23:31:12 2024	1713076272	0	12585	12585	12184
Sat Apr 13 23:31:43 2024	1713076303	1	12597	12598	12506
Sat Apr 13 23:31:56 2024	1713076316	0	12614	12614	12561
Sat Apr 13 23:33:24 2024	1713076404	0	12629	12629	12309
Sat Apr 13 23:30:45 2024	1713076245	11	12663	12674	12456
Sat Apr 13 23:33:20 2024	1713076400	0	12708	12708	8134
Sat Apr 13 23:32:32 2024	1713076352	0	12750	12750	8706
Sat Apr 13 23:30:45 2024	1713076245	11	12740	12750	12580
Sat Apr 13 23:31:57 2024	1713076317	0	12760	12760	12695
Sat Apr 13 23:33:01 2024	1713076381	0	12760	12760	10247
Sat Apr 13 23:30:45 2024	1713076245	12	12754	12766	7442
Sat Apr 13 23:32:20 2024	1713076340	0	12771	12771	12751
Sat Apr 13 23:30:45 2024	1713076245	12	12879	12891	7682
Sat Apr 13 23:32:00 2024	1713076320	1	12891	12892	12550
Sat Apr 13 23:33:23 2024	1713076403	0	12920	12920	12847
Sat Apr 13 23:31:51 2024	1713076311	0	12923	12923	8398
Sat Apr 13 23:31:53 2024	1713076313	0	12942	12942	7270
Sat Apr 13 23:32:08 2024	1713076328	1	12981	12982	12567
Sat Apr 13 23:32:38 2024	1713076358	0	12983	12984	10103
Sat Apr 13 23:30:45 2024	1713076245	12	12978	12990	7538
Sat Apr 13 23:31:35 2024	1713076295	0	12992	12993	12951
Sat Apr 13 23:32:46 2024	1713076366	0	12994	12994	11086
Sat Apr 13 23:31:09 2024	1713076269	0	13000	13001	12897
Sat Apr 13 23:33:05 2024	1713076385	0	13052	13053	11992
Sat Apr 13 23:31:34 2024	1713076294	0	13059	13060	6231
Sat Apr 13 23:31:58 2024	1713076318	0	13067	13067	7525
Sat Apr 13 23:31:29 2024	1713076289	0	13077	13077	5123
Sat Apr 13 23:30:45 2024	1713076245	12	13150	13162	8018
Sat Apr 13 23:32:40 2024	1713076360	0	13175	13175	10684
Sat Apr 13 23:31:46 2024	1713076306	0	13186	13186	13163
Sat Apr 13 23:31:27 2024	1713076287	0	13205	13205	5996
Sat Apr 13 23:31:16 2024	1713076276	1	13211	13211	7973
Sat Apr 13 23:32:10 2024	1713076330	0	13215	13216	6590
Sat Apr 13 23:31:38 2024	1713076298	0	13221	13221	6513
Sat Apr 13 23:32:07 2024	1713076327	0	13221	13221	12941
Sat Apr 13 23:31:31 2024	1713076291	0	13225	13225	6456
Sat Apr 13 23:33:25 2024	1713076405	1	13263	13264	13222
Sat Apr 13 23:32:12 2024	1713076332	0	13266	13266	5357
Sat Apr 13 23:31:28 2024	1713076288	0	13271	13271	13160
Sat Apr 13 23:31:49 2024	1713076309	0	13272	13272	7923
Sat Apr 13 23:31:13 2024	1713076273	0	13335	13335	4705
Sat Apr 13 23:31:12 2024	1713076272	0	13349	13349	4120
Sat Apr 13 23:30:58 2024	1713076258	0	13369	13369	13289
Sat Apr 13 23:30:45 2024	1713076245	12	13361	13373	8160
Sat Apr 13 23:30:45 2024	1713076245	11	13374	13384	13225
Sat Apr 13 23:32:37 2024	1713076357	0	13388	13388	9694
Sat Apr 13 23:31:52 2024	1713076312	0	13398	13398	8131
Sat Apr 13 23:31:48 2024	1713076308	0	13407	13407	7700
Sat Apr 13 23:31:54 2024	1713076314	0	13415	13416	13067
Sat Apr 13 23:32:30 2024	1713076350	0	13424	13425	9131
Sat Apr 13 23:31:03 2024	1713076263	0	13432	13432	13342
Sat Apr 13 23:32:10 2024	1713076330	0	13449	13449	6184
Sat Apr 13 23:31:26 2024	1713076286	1	13454	13456	13429
Sat Apr 13 23:32:05 2024	1713076325	0	13462	13462	5554
Sat Apr 13 23:31:42 2024	1713076302	0	13472	13472	8098
Sat Apr 13 23:33:25 2024	1713076405	0	13476	13476	8517
Sat Apr 13 23:30:45 2024	1713076245	12	13468	13479	8353
Sat Apr 13 23:30:45 2024	1713076245	12	13477	13489	8028
Sat Apr 13 23:31:35 2024	1713076295	1	13493	13493	6955
Sat Apr 13 23:31:47 2024	1713076307	0	13494	13494	7910
